Date,Open,High,Low,Close,Adj Close,Volume,Open_lag1,Open_lag2,Open_lag3,Open_lag4,Open_lag5,Open_lag6,Open_lag7,High_lag1,High_lag2,High_lag3,High_lag4,High_lag5,High_lag6,High_lag7,Low_lag1,Low_lag2,Low_lag3,Low_lag4,Low_lag5,Low_lag6,Low_lag7,Close_lag1,Close_lag2,Close_lag3,Close_lag4,Close_lag5,Close_lag6,Close_lag7,Adj Close_lag1,Adj Close_lag2,Adj Close_lag3,Adj Close_lag4,Adj Close_lag5,Adj Close_lag6,Adj Close_lag7,Volume_lag1,Volume_lag2,Volume_lag3,Volume_lag4,Volume_lag5,Volume_lag6,Volume_lag7
9/28/2014,399.471008,401.016998,374.332001,377.181,377.181,23613300.0,403.556,411.428986,423.156006,435.751007,402.09201,399.100006,408.084991,406.622986,414.937988,423.519989,436.112,441.557007,406.915985,412.425995,397.372009,400.009003,409.467987,421.131989,396.196991,397.130005,393.181,399.519989,404.424988,411.574005,423.204987,435.790985,402.152008,398.821014,399.519989,404.424988,411.574005,423.204987,435.790985,402.152008,398.821014,15029300.0,21460800.0,26814400.0,30627700.0,45099500.0,24127600.0,26580100.0
9/29/2014,376.928009,385.210999,372.23999,375.46701,375.46701,32497700.0,399.471008,403.556,411.428986,423.156006,435.751007,402.09201,399.100006,401.016998,406.622986,414.937988,423.519989,436.112,441.557007,406.915985,374.332001,397.372009,400.009003,409.467987,421.131989,396.196991,397.130005,377.181,399.519989,404.424988,411.574005,423.204987,435.790985,402.152008,377.181,399.519989,404.424988,411.574005,423.204987,435.790985,402.152008,23613300.0,15029300.0,21460800.0,26814400.0,30627700.0,45099500.0,24127600.0
9/30/2014,376.088013,390.97699,373.442993,386.944,386.944,34707300.0,376.928009,399.471008,403.556,411.428986,423.156006,435.751007,402.09201,385.210999,401.016998,406.622986,414.937988,423.519989,436.112,441.557007,372.23999,374.332001,397.372009,400.009003,409.467987,421.131989,396.196991,375.46701,377.181,399.519989,404.424988,411.574005,423.204987,435.790985,375.46701,377.181,399.519989,404.424988,411.574005,423.204987,435.790985,32497700.0,23613300.0,15029300.0,21460800.0,26814400.0,30627700.0,45099500.0
10/1/2014,387.427002,391.378998,380.779999,383.61499,383.61499,26229400.0,376.088013,376.928009,399.471008,403.556,411.428986,423.156006,435.751007,390.97699,385.210999,401.016998,406.622986,414.937988,423.519989,436.112,373.442993,372.23999,374.332001,397.372009,400.009003,409.467987,421.131989,386.944,375.46701,377.181,399.519989,404.424988,411.574005,423.204987,386.944,375.46701,377.181,399.519989,404.424988,411.574005,423.204987,34707300.0,32497700.0,23613300.0,15029300.0,21460800.0,26814400.0,30627700.0
10/2/2014,383.988007,385.497009,372.946014,375.071991,375.071991,21777700.0,387.427002,376.088013,376.928009,399.471008,403.556,411.428986,423.156006,391.378998,390.97699,385.210999,401.016998,406.622986,414.937988,423.519989,380.779999,373.442993,372.23999,374.332001,397.372009,400.009003,409.467987,383.61499,386.944,375.46701,377.181,399.519989,404.424988,411.574005,383.61499,386.944,375.46701,377.181,399.519989,404.424988,411.574005,26229400.0,34707300.0,32497700.0,23613300.0,15029300.0,21460800.0,26814400.0
10/3/2014,375.181,377.695007,357.859009,359.511993,359.511993,30901200.0,383.988007,387.427002,376.088013,376.928009,399.471008,403.556,411.428986,385.497009,391.378998,390.97699,385.210999,401.016998,406.622986,414.937988,372.946014,380.779999,373.442993,372.23999,374.332001,397.372009,400.009003,375.071991,383.61499,386.944,375.46701,377.181,399.519989,404.424988,375.071991,383.61499,386.944,375.46701,377.181,399.519989,404.424988,21777700.0,26229400.0,34707300.0,32497700.0,23613300.0,15029300.0,21460800.0
10/4/2014,359.891998,364.487,325.885986,328.865997,328.865997,47236500.0,375.181,383.988007,387.427002,376.088013,376.928009,399.471008,403.556,377.695007,385.497009,391.378998,390.97699,385.210999,401.016998,406.622986,357.859009,372.946014,380.779999,373.442993,372.23999,374.332001,397.372009,359.511993,375.071991,383.61499,386.944,375.46701,377.181,399.519989,359.511993,375.071991,383.61499,386.944,375.46701,377.181,399.519989,30901200.0,21777700.0,26229400.0,34707300.0,32497700.0,23613300.0,15029300.0
10/5/2014,328.915985,341.800995,289.29599,320.51001,320.51001,83308096.0,359.891998,375.181,383.988007,387.427002,376.088013,376.928009,399.471008,364.487,377.695007,385.497009,391.378998,390.97699,385.210999,401.016998,325.885986,357.859009,372.946014,380.779999,373.442993,372.23999,374.332001,328.865997,359.511993,375.071991,383.61499,386.944,375.46701,377.181,328.865997,359.511993,375.071991,383.61499,386.944,375.46701,377.181,47236500.0,30901200.0,21777700.0,26229400.0,34707300.0,32497700.0,23613300.0
10/6/2014,320.389008,345.134003,302.559998,330.07901,330.07901,79011800.0,328.915985,359.891998,375.181,383.988007,387.427002,376.088013,376.928009,341.800995,364.487,377.695007,385.497009,391.378998,390.97699,385.210999,289.29599,325.885986,357.859009,372.946014,380.779999,373.442993,372.23999,320.51001,328.865997,359.511993,375.071991,383.61499,386.944,375.46701,320.51001,328.865997,359.511993,375.071991,383.61499,386.944,375.46701,83308096.0,47236500.0,30901200.0,21777700.0,26229400.0,34707300.0,32497700.0
10/7/2014,330.584015,339.247009,320.481995,336.187012,336.187012,49199900.0,320.389008,328.915985,359.891998,375.181,383.988007,387.427002,376.088013,345.134003,341.800995,364.487,377.695007,385.497009,391.378998,390.97699,302.559998,289.29599,325.885986,357.859009,372.946014,380.779999,373.442993,330.07901,320.51001,328.865997,359.511993,375.071991,383.61499,386.944,330.07901,320.51001,328.865997,359.511993,375.071991,383.61499,386.944,79011800.0,83308096.0,47236500.0,30901200.0,21777700.0,26229400.0,34707300.0
